epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
72,14196.2,0.81027,0.78678,1.2578,0.7003,0.68676,0.69861,0.52765,0.76137,0.66948,1.14151,0.0194565,0.0064855,0.0194565,0.0064855,0.0194565,0.0064855,0.0194565,0.0064855
73,14426.5,0.8098,0.79023,1.26597,0.70696,0.69901,0.70518,0.53068,0.75773,0.65522,1.13059,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
74,14662.7,0.81833,0.79262,1.2685,0.7223,0.68151,0.70968,0.53675,0.75824,0.65007,1.12981,0.0191595,0.0063865,0.0191595,0.0063865,0.0191595,0.0063865,0.0191595,0.0063865
75,14896.1,0.79662,0.75309,1.25695,0.7034,0.70441,0.70352,0.53358,0.75998,0.66605,1.1339,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
76,15127.9,0.80396,0.77354,1.25945,0.71332,0.68554,0.72238,0.5484,0.73963,0.64983,1.12144,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875
77,15587.3,0.80821,0.77953,1.25843,0.71596,0.68369,0.71068,0.53605,0.75771,0.65819,1.12615,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
78,15768.9,0.80001,0.76917,1.25349,0.71355,0.70008,0.71765,0.54043,0.75646,0.64704,1.13349,0.0185655,0.0061885,0.0185655,0.0061885,0.0185655,0.0061885,0.0185655,0.0061885
79,15950.2,0.79563,0.75433,1.25027,0.66337,0.7245,0.70844,0.53861,0.75522,0.64058,1.13827,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
80,16130.7,0.79474,0.75537,1.25096,0.72104,0.68946,0.71599,0.53775,0.76131,0.65859,1.13801,0.0182685,0.0060895,0.0182685,0.0060895,0.0182685,0.0060895,0.0182685,0.0060895
81,16314,0.79259,0.75644,1.24688,0.69683,0.67831,0.6922,0.52378,0.75678,0.65727,1.126,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
